SKU,FIRST_MINIMUM_PRICE,SECOND_MINIMUM_PRICE
11333,304.0,379.0
11334,339.0,348.0
11335,304.0,315.0
11336,395.0,455.0
11337,395.0,455.0
11338,156.0,278.0
11342,499.0,607.0
11345,626.0,2499.0
11348,255.0,325.55
11349,249.0,305.0
11350,232.89,373.0
11351,449.98,475.0
11352,320.0,411.0
11353,375.0,430.0
11356,250.0,259.99
11357,383.0,385.0
11358,675.0,999.99
11360,139.0,145.0
11361,79.99,127.0
11362,132.0,224.75
11363,96.95,129.94
11364,120.0,139.0
11365,475.0,538.0
11366,475.0,538.0
11368,395.0,455.0
11369,435.0,450.0
11370,525.0,531.0
11371,873.0,875.0
11372,1050.0,1069.0
11373,492.0,493.0
11374,59.0,65.0
11376,295.0,304.0
11377,185.0,220.0
11380,158.0,200.0
11381,120.0,125.0
11382,210.0,217.0
11383,312.0,315.0
11384,218.0,225.0
11385,721.0,808.65
11386,125.0,269.98
11388,260.0,297.0
11389,316.0,354.0
11390,189.0,241.89
11391,189.0,241.89
11392,260.0,318.89
11393,258.0,325.0
11394,165.0,219.0
11395,285.0,311.0
11397,171.0,225.0
11398,218134.0,219252.0
11399,189.98,190.0
11400,215.0,240.0
11402,162.0,219.98
11403,229.0,230.0
11404,155.0,158.0
11405,269.94,294.94
11406,225.0,228.0
11407,114.98,119.0
11408,163.89,245.0
11409,228.0,242.0
11410,215.0,219.0
11411,129.0,129.98
11412,135.0,146.0
11414,69.0,74.0
11415,234.0,245.0
11417,525.0,574.95
11418,849.0,858.0
11419,819.0,825.0
11420,407.0,459.0
11421,644.98,663.0
11422,233.0,749.99
11423,188.0,221.0
11425,195.0,199.0
11427,375.0,380.0
11428,129.94,133.0
11429,200.0,210.0
11430,250.0,399.97
11432,245.0,259.0
11433,278.0,284.0
11435,506.75,575.0
11436,621.0,625.0
11437,400.0,415.0
11438,1099.0,1195.0
11439,875.0,987.0
11440,399.0,961.0
11442,825.0,850.0
11444,750.0,835.0
11445,750.0,835.0
11446,799.0,899.0
11448,898.0,1500.0
11451,846.0,849.0
11452,835.0,863.0
11453,425.0,435.0
11454,899.0,974.0
11455,899.0,925.0
11456,633.0,800.0
11458,392.0,899.99
11459,75.0,83.0
11460,450.0,499.99
11461,495.0,499.98
11464,668.0,689.0
11468,499.98,525.0
11469,549.99,582.0
11470,549.0,617.0
11471,871.0,874.95
11472,348.0,349.95
11473,149.94,149.99
11476,185.0,190.0
11477,152.0,159.98
11478,133.0,140.0
11479,400.0,419.0
11480,459.0,481.0
11481,345.0,380.0
11482,155.0,184.49
11483,155.0,184.49
11484,195.0,215.0
11485,195.0,215.0
11486,309.0,317.0
11487,310.0,323.0
11488,175.0,179.0
11489,188.0,199.0
11491,248.99,275.0
11492,123.95,199.99
11493,375.0,392.0
11494,325.0,350.0
11495,139.0,180.0
11496,185.0,195.0
11497,139.97,230.0
11498,139.0,145.0
11499,195.0,200.0
11500,375.0,440.0
11502,164.0,169.0
11503,135.0,137.0
11505,175.0,179.0
11506,135.0,139.0
11507,177.0,185.0
11508,1000.0,1040.0
11509,450.0,475.0
11510,493.0,513.0
11511,525.0,575.0
11512,850.0,895.0
11513,550.0,699.99
11514,506.0,509.0
11515,475.89,550.0
11516,450.0,500.0
11518,799.0,830.0
11519,296.0,304.0
11520,463.65,588.0
11522,147.0,159.0
11523,190.0,196.0
11524,225.0,235.0
11527,234.95,241.0
11528,1199.0,1249.99
11529,425.0,500.0
11530,557.0,575.0
11531,419.99,557.0
11532,495.0,499.0
11533,545.0,549.97
11534,549.0,599.97
11535,685.0,695.0
11536,685.0,695.0
11537,575.0,582.0
11539,538.89,720.0
11540,250.0,259.0
11541,354.0,365.0
11542,225.0,234.0
11543,248.0,249.0
11544,139.0,159.0
11545,175.0,188.95
11546,127.0,179.99
11547,209.0,213.0
11548,170.0,177.98
11549,170.0,177.98
11550,218.0,225.0
11551,250.0,275.0
11552,475.0,495.0
11553,285.0,315.0
11554,180.0,215.0
11555,324.0,389.0
11556,390.0,405.0
11559,139.0,152.0
11561,6319.0,7528.89
11562,2525.0,2530.0
11563,2300.0,2395.0
11564,3500.0,3595.0
11567,132.0,135.94
11568,177.0,188.0
11572,73.0,126.0
11573,73.0,126.0
11574,241.0,245.0
11575,142.0,151.0
11576,150.0,152.0
11577,129.0,162.0
11578,120.0,130.0
11579,135.0,152.0
11580,152.0,155.0
11581,74.98,137.0
11582,171.0,179.0
11584,209.0,214.94
11585,112.95,133.0
11586,139.0,145.0
11587,150.0,152.0
11588,250.0,254.94
11589,155.0,158.0
11590,139829.0,148778.0
11592,158.0,163.0
11593,389.0,405.0
11594,325.0,349.97
11595,99.0,184.94
11596,194.94,196.0
11597,202.0,626.75
11598,169.0,189.0
11600,240.0,247.0
11601,182.0,219.65
11603,135.0,247.0
11604,449.99,506.0
11605,430.0,506.0
11606,158.0,191.0
11607,239.0,608.0
11609,455.0,499.0
11610,470.0,475.0
11612,145.0,274.97
11613,149.99,166.0
11614,180.0,184.94
11615,259.99,274.94
11616,455.0,459.98
11618,316.0,499.99
11624,500.0,525.0
11625,949.0,980.0
